CRT,SectorName_x,FuelName,SectorID,FuelID,SectorName_y,GNFR
,,,2234,,Storage and handling of metal products,B
2.C.7,Other (as specified in table 2(I).A-H),,2235,0,Other non ferrous metal production,B
2.H.3.Copper production (SO2 emissions),Copper production (SO2 emissions),,2235,0,Other non ferrous metal production,B
,,,2300,,Chemical industry,B
1.A.2.c,Chemicals,Biomass,2310,400,Chemical industry (comb),B
1.A.2.c,Chemicals,Gaseous fuels,2310,300,Chemical industry (comb),B
1.A.2.c,Chemicals,Liquid fuels,2310,200,Chemical industry (comb),B
1.A.2.c,Chemicals,Other fossil fuels,2310,500,Chemical industry (comb),B
1.A.2.c,Chemicals,Peat,2310,140,Chemical industry (comb),B
1.A.2.c,Chemicals,Solid fuels,2310,100,Chemical industry (comb),B
,,,2320,,Chemical industry,B
2.B.1,Ammonia production,,2321,0,Ammonia production,B
2.B.2,Nitric acid production,,2322,0,Nitric acid production,B
2.B.3,Adipic acid production,,2323,0,Adipic acid production,B
2.B.5,Carbide production,,2324,0,Carbide production,B
2.B.6,Titanium dioxide production,,2325,0,Titanium dioxide production,B
2.H.3.Titanium dioxide production (NOx and SO2 emissions),Titanium dioxide production (NOx and SO2 emissions),,2325,0,Titanium dioxide production,B
2.B.7,Soda ash production,,2326,0,Soda ash production,B
,,,2327,,Storage and handling of chemical products,B
2.B.10,10.  Other (as specified in table 2(I).A-H),,2328,0,Other chemical production,B
2.B.4,Caprolactam glyoxal and glyoxylic acid production,,2328,0,Other chemical production,B
2.B.8,Petrochemical and carbon black production,,2328,0,Other chemical production,B
,,,2400,,Pulp and paper industry,B
1.A.2.d,Pulp paper and print,Biomass,2410,400,Pulp and paper industry (comb),B
1.A.2.d,Pulp paper and print,Gaseous fuels,2410,300,Pulp and paper industry (comb),B
1.A.2.d,Pulp paper and print,Liquid fuels,2410,200,Pulp and paper industry (comb),B
1.A.2.d,Pulp paper and print,Other fossil fuels,2410,500,Pulp and paper industry (comb),B
1.A.2.d,Pulp paper and print,Peat,2410,140,Pulp and paper industry (comb),B
1.A.2.d,Pulp paper and print,Solid fuels,2410,100,Pulp and paper industry (comb),B
2.H.1,Pulp and paper,,2420,0,Pulp and paper industry,B
2.H.3.Pulp and Paper Industry,Pulp and Paper Industry,,2420,0,Pulp and paper industry,B
,,,2500,,Food and beverages industry,B
1.A.2.e,Food processing beverages and tobacco,Biomass,2510,400,"Food processing, beverages and tobacco (comb)",B
1.A.2.e,Food processing beverages and tobacco,Gaseous fuels,2510,300,"Food processing, beverages and tobacco (comb)",B
1.A.2.e,Food processing beverages and tobacco,Liquid fuels,2510,200,"Food processing, beverages and tobacco (comb)",B
1.A.2.e,Food processing beverages and tobacco,Other fossil fuels,2510,500,"Food processing, beverages and tobacco (comb)",B
1.A.2.e,Food processing beverages and tobacco,Peat,2510,140,"Food processing, beverages and tobacco (comb)",B
1.A.2.e,Food processing beverages and tobacco,Solid fuels,2510,100,"Food processing, beverages and tobacco (comb)",B
2.H.2,Food and beverages industry,,2520,0,Food and beverages industry,B
